state,population,population_millions,station_count,people_per_station,stations_per_million
CHANDIGARH,1055450,1.05545,3.0,351816.6666666667,2.8423895021081056
DELHI,16787941,16.787941,40.0,419698.525,2.382662650529925
SIKKIM,610577,0.610577,1.0,610577.0,1.6377950692541645
HARYANA,25351462,25.351462,30.0,845048.7333333333,1.1833637050202468
MIZORAM,1097206,1.097206,1.0,1097206.0,0.9114058800261756
MAHARASHTRA,112374333,112.374333,93.0,1208326.1612903227,0.8275911190502907
PUDUCHERRY,1247953,1.247953,1.0,1247953.0,0.8013122289060565
ARUNACHAL PRADESH,1383727,1.383727,1.0,1383727.0,0.7226859055290531
MANIPUR,2855794,2.855794,2.0,1427897.0,0.7003306260885764
KARNATAKA,61095297,61.095297,42.0,1454649.9285714286,0.6874506232451902
MEGHALAYA,2966889,2.966889,2.0,1483444.5,0.6741067832332116
RAJASTHAN,68548437,68.548437,45.0,1523298.6,0.6564701103250538
CHHATTISGARH,25545198,25.545198,14.0,1824657.0,0.5480482085126136
TRIPURA,3673917,3.673917,2.0,1836958.5,0.5443781119715008
NAGALAND,1978502,1.978502,1.0,1978502.0,0.505432898222999
ODISHA,41974218,41.974218,19.0,2209169.3684210526,0.4526588202310285
TELANGANA,35193978,35.193978,14.0,2513855.5714285714,0.3977953273710633
TAMIL NADU,72147030,72.14703,28.0,2576679.6428571427,0.3880963637727014
MADHYA PRADESH,72626809,72.626809,28.0,2593814.6071428573,0.3855325655296242
BIHAR,104099452,104.099452,34.0,3061748.588235294,0.32661074911326143
UTTARAKHAND,10086292,10.086292,3.0,3362097.3333333335,0.2974333878099107
ASSAM,31205576,31.205576,9.0,3467286.222222222,0.28840999441894616
PUNJAB,27743338,27.743338,8.0,3467917.25,0.2883575148743817
UTTAR PRADESH,199812341,199.812341,57.0,3505479.6666666665,0.2852676652239413
GUJARAT,60439692,60.439692,17.0,3555276.0,0.28127211502004346
KERALA,33406061,33.406061,9.0,3711784.5555555555,0.2694121884049724
WEST BENGAL,91276115,91.276115,15.0,6085074.333333333,0.16433652987969524
HIMACHAL PRADESH,6864602,6.864602,1.0,6864602.0,0.1456748694243308
ANDHRA PRADESH,84580777,84.580777,12.0,7048398.083333333,0.14187620905870846
JHARKHAND,32988134,32.988134,4.0,8247033.5,0.12125572183015867
JAMMU AND KASHMIR,12541302,12.541302,1.0,12541302.0,0.07973653772152206
