state,population,avg_distance_km,total_vulnerability
ANDAMAN & NICOBAR,60000.0,1264.1942684266157,75851656.10559696
LADAKH,1670000.0224955354,296.9816234846259,495959317.3997176
ARUNACHAL PRADESH,754000.00000016,163.00244631140495,122903844.51881662
GUJARAT,2879082.1609327206,156.40242624779108,292376191.633753
HIMACHAL PRADESH,529347.4832339204,134.62155261635394,71233156.58695242
JAMMU & KASHMIR,513000.00452267553,103.19713128389817,52940128.94582027
UTTARAKHAND,623062.8024829134,99.72208813386696,54724303.77585003
CHHATTISGARH,1179806.9062437802,95.63742508321417,112859675.12226689
ODISHA,1349141.919568441,93.6946206019742,126344197.91656096
TELANGANA,2187385.5512092914,93.17599402086393,123812017.78633836
MEGHALAYA,195000.07755277288,84.2290344855212,16424674.78113153
JHARKHAND,930065.810603823,74.76968324926054,66368494.09674893
MIZORAM,187000.00242326598,74.36918298444382,13907037.400564134
ANDHRA PRADESH,1476517.724072487,71.4270896420166,102398547.24842133
MADHYA PRADESH,4029292.838570082,70.54494728413708,235273222.76277158
WEST BENGAL,1910652.7994253978,63.80398748089865,80007114.70131887
ASSAM,716000.0085086324,63.36700614950588,45370777.753272496
UTTAR PRADESH,7421189.282363404,62.45007589025352,263940618.5332189
NAGALAND,150000.00000008466,59.060993042443954,8859148.956371646
TRIPURA,89000.17585624086,58.28755051479912,5187599.898964874
MAHARASHTRA,5577428.210702731,56.373021147855496,211168434.1054569
GOA,29000.143297030216,54.55625801588928,1582141.0910502614
RAJASTHAN,5936919.344345046,52.346076040536815,242102994.3322649
MANIPUR,199000.00000956072,51.63891615621772,10276144.31571086
SIKKIM,64000.01799225677,44.26137303203867,2832728.7242873022
TAMIL NADU,2042633.4746207295,42.51679921106844,66394714.181303024
KERALA,325174.03717467305,41.556076776081696,13512472.67000334
PUNJAB,482355.4563169564,41.15307500436485,19838552.01119133
KARNATAKA,2677017.117787611,40.51825362970156,84702294.68330382
PUDUCHERRY,3604.306265610348,32.06658791641371,100722.26023542245
BIHAR,3079658.3028594377,30.823138616617257,75431255.9277717
HARYANA,2576438.6990281236,22.412305503452647,38978567.87780233
DADRA & NAGAR HAVE,6865.415833815097,22.355227189014002,155781.23781964133
DELHI,938384.9705542751,4.0856090276902,3586830.353107063
CHANDIGARH,1004.2386592825775,2.8710248815766666,2883.1941778414725
