SNo,lat,long,name,city,state
1,21.194815,81.31477,"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh
2,21.258815,81.578979,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh
3,21.219665,81.630094,"Bhatagaon New ISBT, Raipur - CECB",Raipur,Chhattisgarh
4,21.185571,81.343175,"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,Chhattisgarh
5,22.1910172,83.5197009,"Govt. Higher Secondary School, Milupara - CECB",Milupara,Chhattisgarh
6,21.224231,81.40835,"Hathkhoj, Bhilai - CECB",Bhilai,Chhattisgarh
7,21.237755,81.705301,"Krishak Nagar, Raipur - CECB",Raipur,Chhattisgarh
8,22.08815,82.13737,"Mangala, Bilaspur - NTPC",Bilaspur,Chhattisgarh
9,22.118125,83.140608,"Nawapara SECL Colony, Chhal - CECB",Chhal,Chhattisgarh
10,22.06631475,83.33820077,"OP Jindal Industrial Park, Tumidih - CECB",Tumidih,Chhattisgarh
11,22.12665,83.483212,"OP Jindal School, Kunjemura - CECB",Kunjemura,Chhattisgarh
12,22.368195,82.746431,"Rampur, Korba - CECB",Korba,Chhattisgarh
13,21.371751,81.664929,"Siltara Phase-II, Raipur - CECB",Raipur,Chhattisgarh
14,22.348441,82.549611,"Urja Nagar, Korba - CECB",Korba,Chhattisgarh
15,26.902909,75.836858,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan
16,24.5886166,73.6321397,"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan
17,25.106006,76.469948,"Bamboliya, Baran - RSPCB",Baran,Rajasthan
18,23.837789,73.714926,"Bhoiwada, Dungarpur - RSPCB",Dungarpur,Rajasthan
19,26.470859,74.646594,"Civil Lines, Ajmer - RSPCB",Ajmer,Rajasthan
20,26.268249,73.0193853,"Collectorate, Jodhpur - RSPCB",Jodhpur,Rajasthan
21,25.16409,75.858137,"Dhanmandi, Kota - RSPCB",Kota,Rajasthan
22,25.03636,73.883502,"Dhoinda, Rajsamand - RSPCB",Rajsamand,Rajasthan
23,26.29581,73.082283,"Digari Kalan, Jodhpur - RSPCB",Jodhpur,Rajasthan
24,29.61075,74.283608,"Housing Board, Hanumangarh - RSPCB",Hanumangarh,Rajasthan
25,25.771061,73.340227,"Indira Colony Vistar, Pali - RSPCB",Pali,Rajasthan
26,28.108988,75.386577,"Indra Nagar, Jhunjhunu - RSPCB",Jhunjhunu,Rajasthan
27,26.215415,73.070156,"Jhalamand, Jodhpur - RSPCB",Jodhpur,Rajasthan
